"","beta.ff","gamma.mm","gamma.mf","gamma.fm","theta","env.foi","hunt.f","hunt.m","fin.pop4.75","fin.prev4.75","fin.pop9.75","fin.prev9.75","fin.pop14.75","fin.prev14.75","fin.pop24.75","fin.prev24.75","R0","scenario","rate.var","rate.val","trans"
"16",0.045,2,1,2,1,0,0.15,0.05,1366.05577010901,0.240229994145866,423.955997947445,0.453938252265679,110.325752932417,0.358062136722154,20.4929276343853,0.270882585512748,NA,"equal","af",0.15,"Freq. Dep."
"17",0.045,2,1,2,1,0,0.16,0.05,1272.53638937953,0.284368186896549,301.721640641711,0.504359484910226,64.9289922857444,0.373101253748379,10.6540574970969,0.279024502418903,NA,"equal","af",0.16,"Freq. Dep."
"18",0.045,2,1,2,1,0,0.17,0.05,1176.13001038743,0.340702836436507,195.715622641095,0.562670761011184,33.1091200891751,0.391753016983135,4.73988841868949,0.287301941339242,NA,"equal","af",0.17,"Freq. Dep."
"19",0.045,2,1,2,1,0,0.18,0.05,1074.65175852103,0.413069928136453,107.782058604834,0.641846784157104,12.2390938534126,0.425262336106808,1.45386578824484,0.295763572435327,NA,"equal","af",0.18,"Freq. Dep."
"20",0.045,2,1,2,1,0,0.19,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"equal","af",0.19,"Freq. Dep."
"21",0.045,2,1,2,1,0,0.2,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"equal","af",0.2,"Freq. Dep."
"22",0.045,2,1,2,1,0,0.21,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"equal","af",0.21,"Freq. Dep."
"23",0.045,2,1,2,1,0,0.22,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"equal","af",0.22,"Freq. Dep."
"24",0.045,2,1,2,1,0,0.23,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"equal","af",0.23,"Freq. Dep."
"25",0.045,2,1,2,1,0,0.24,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"equal","af",0.24,"Freq. Dep."
"26",0.045,2,1,2,1,0,0.25,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"equal","af",0.25,"Freq. Dep."
"27",0.045,2,1,2,1,0,0.26,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"equal","af",0.26,"Freq. Dep."
"28",0.045,2,1,2,1,0,0.27,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"equal","af",0.27,"Freq. Dep."
"29",0.045,2,1,2,1,0,0.28,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"equal","af",0.28,"Freq. Dep."
"30",0.045,2,1,2,1,0,0.29,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"equal","af",0.29,"Freq. Dep."
"31",0.045,2,1,2,1,0,0.3,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"equal","af",0.3,"Freq. Dep."
"32",0.045,2,1,2,1,0,0.31,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"equal","af",0.31,"Freq. Dep."
"33",0.045,2,1,2,1,0,0.32,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"equal","af",0.32,"Freq. Dep."
"34",0.045,2,1,2,1,0,0.33,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"equal","af",0.33,"Freq. Dep."
"35",0.045,2,1,2,1,0,0.34,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"equal","af",0.34,"Freq. Dep."
"36",0.045,2,1,2,1,0,0.35,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"equal","af",0.35,"Freq. Dep."
"37",0.045,2,1,2,1,0,0.36,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"equal","af",0.36,"Freq. Dep."
"38",0.045,2,1,2,1,0,0.37,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"equal","af",0.37,"Freq. Dep."
"39",0.045,2,1,2,1,0,0.38,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"equal","af",0.38,"Freq. Dep."
"40",0.045,2,1,2,1,0,0.39,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"equal","af",0.39,"Freq. Dep."
"41",0.045,2,1,2,1,0,0.4,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"equal","af",0.4,"Freq. Dep."
"42",0.045,2,1,2,1,0,0.41,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"equal","af",0.41,"Freq. Dep."
"43",0.045,2,1,2,1,0,0.42,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"equal","af",0.42,"Freq. Dep."
"44",0.045,2,1,2,1,0,0.43,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"equal","af",0.43,"Freq. Dep."
"45",0.045,2,1,2,1,0,0.44,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"equal","af",0.44,"Freq. Dep."
"46",0.045,2,1,2,1,0,0.45,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"equal","af",0.45,"Freq. Dep."
"47",0.045,2,1,2,1,0,0.46,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"equal","af",0.46,"Freq. Dep."
"48",0.045,2,1,2,1,0,0.47,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"equal","af",0.47,"Freq. Dep."
"49",0.045,2,1,2,1,0,0.48,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"equal","af",0.48,"Freq. Dep."
"50",0.045,2,1,2,1,0,0.49,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"equal","af",0.49,"Freq. Dep."
"51",0.045,2,1,2,1,0,0.05,0,2263.59623417902,0.125283746792333,1851.10231459653,0.262236717275366,1199.19678331188,0.278953122171254,636.663449068487,0.227311507743395,NA,"equal","am",0,"Freq. Dep."
"52",0.045,2,1,2,1,0,0.05,0.01,2283.95178297072,0.111179605133694,1985.12092057781,0.229580328281274,1398.17537072025,0.258691224684705,783.943496159438,0.219828924467659,NA,"equal","am",0.01,"Freq. Dep."
"53",0.045,2,1,2,1,0,0.05,0.02,2301.32623620127,0.0996042025488575,2099.70107684716,0.201139596076845,1590.99926206612,0.237971637333142,946.329862142376,0.211804055948586,NA,"equal","am",0.02,"Freq. Dep."
"54",0.045,2,1,2,1,0,0.05,0.03,2316.31971231318,0.0899852102201301,2197.65517987287,0.176547662645154,1774.24204975503,0.217278645074704,1123.35158688134,0.203144449754762,NA,"equal","am",0.03,"Freq. Dep."
"55",0.045,2,1,2,1,0,0.05,0.04,2329.38378812374,0.0819009877354123,2281.55230684273,0.155381943279238,1945.5315976869,0.197073813854127,1314.02080556202,0.19378795315008,NA,"equal","am",0.04,"Freq. Dep."
"56",0.045,2,1,2,1,0,0.05,0.05,2340.86423128396,0.0750363629534298,2353.63754980127,0.137209481394568,2103.49287337406,0.177748743311107,1516.7612108102,0.183714020096872,NA,"equal","am",0.05,"Freq. Dep."
"57",0.045,2,1,2,1,0,0.05,0.06,2351.02993918075,0.0691524771095599,2415.82225442509,0.121617354053709,2247.59812907152,0.159599424717065,1729.3937307228,0.172952986720329,NA,"equal","am",0.06,"Freq. Dep."
"58",0.045,2,1,2,1,0,0.05,0.07,2360.09296405436,0.0640659451259494,2469.70867905897,0.108229621930386,2377.97487021497,0.142819654907237,1949.19416486499,0.16159106933973,NA,"equal","am",0.07,"Freq. Dep."
"59",0.045,2,1,2,1,0,0.05,0.08,2368.22264320697,0.0596342552476571,2516.62828158402,0.0967144662449988,2495.21201032155,0.127508580424509,2173.02602419576,0.149769067907906,NA,"equal","am",0.08,"Freq. Dep."
"60",0.045,2,1,2,1,0,0.05,0.09,2375.55574793258,0.0557454005560875,2557.68266825067,0.0867850619932738,2600.18939563126,0.113686619354797,2397.53602749879,0.137673726397547,NA,"equal","am",0.09,"Freq. Dep."
"61",0.045,2,1,2,1,0,0.05,0.1,2382.20389151825,0.0523104183820625,2593.78196322045,0.0781969123537308,2693.94192750373,0.101314635889014,2619.38451425441,0.125522283918618,NA,"equal","am",0.1,"Freq. Dep."
"62",0.045,2,1,2,1,0,0.05,0.11,2388.25901685188,0.0492579540164104,2625.67849838717,0.0707434869728242,2777.55965449214,0.0903126680723658,2835.47406331301,0.1135424814967,NA,"equal","am",0.11,"Freq. Dep."
